Name,Codename,Cores,Clock,Socket,Process,L3 Cache,TDP,Released
Core i7-640M,Arrandale,2 / 4,2.8 to 3.467 GHz,BGA 1288,32 nm,4MB,35 W,"Sep 1st, 2010"
Core i7-640M,Arrandale,2 / 4,2.8 to 3.467 GHz,Socket G1,32 nm,4MB,35 W,"Sep 1st, 2010"
Pentium G6951,Clarkdale,2,2.8 GHz,Socket 1156,32 nm,3MB,73 W,"Sep 1st, 2010"
Celeron E3500,Wolfdale,2,2.7 GHz,Socket 775,45 nm,,65 W,"Aug 29th, 2010"
Core i3-560,Clarkdale,2 / 4,3.333 GHz,Socket 1156,32 nm,4MB,73 W,"Aug 29th, 2010"
Pentium E6800,Wolfdale,2,3.333 GHz,Socket 775,45 nm,,65 W,"Aug 29th, 2010"
Xeon W3670,Gulftown,6 / 12,3.2 to 3.466 GHz,Socket 1366,32 nm,12MB,130 W,"Aug 29th, 2010"
Atom N550,Pineview,2 / 4,1500 MHz,BGA 559,45 nm,,9 W,"Aug 23rd, 2010"
Pentium E5700,Wolfdale,2,3 GHz,Socket 775,45 nm,,65 W,"Aug 8th, 2010"
Core i7-870S,Lynnfield,4 / 8,2.666 to 3.6 GHz,Socket 1156,45 nm,8MB,82 W,"Jul 19th, 2010"
Core i7-970,Gulftown,6 / 12,3.2 to 3.466 GHz,Socket 1366,32 nm,12MB,130 W,"Jul 19th, 2010"
Core i5-760,Lynnfield,4,2.8 to 3.333 GHz,Socket 1156,45 nm,8MB,95 W,"Jul 18th, 2010"
Atom D425,Pineview,1 / 2,1834 MHz,BGA 437,45 nm,,10 W,"Jun 21st, 2010"
Atom D525,Pineview,2 / 4,1834 MHz,BGA 437,45 nm,,13 W,"Jun 21st, 2010"
Core i3-370M,Arrandale,2 / 4,2.4 GHz,Socket G1,32 nm,3MB,35 W,"Jun 20th, 2010"
Pentium P6000,Arrandale,2,1877 MHz,Socket G1,32 nm,3MB,35 W,"Jun 20th, 2010"
Atom N455,Pineview,1 / 2,1667 MHz,BGA 559,45 nm,,7 W,"Jun 1st, 2010"
Atom N475,Pineview,1 / 2,1834 MHz,BGA 559,45 nm,,7 W,"Jun 1st, 2010"
Atom Z560,Silverthorne,1 / 2,2.133 GHz,BGA 441,45 nm,,2 W,"Jun 1st, 2010"
Aubrey Isle,Knights Ferry,32 / 128,1200 MHz,PCIe x16,45 nm,,300 W,"May 31st, 2010"
Core i3-550,Clarkdale,2 / 4,3.2 GHz,Socket 1156,32 nm,4MB,73 W,"May 30th, 2010"
Core i5-655K,Clarkdale,2 / 4,3.2 to 3.466 GHz,Socket 1156,32 nm,4MB,73 W,"May 30th, 2010"
